Datetime;Energy;Month;Day;Hour
2022-02-02;0,967;2;2;3
2022-02-02;0,77;2;2;4
2022-02-02;0,854;2;2;5
2022-02-02;0,787;2;2;6
2022-02-02;0,895;2;2;7
2022-02-02;2,19;2;2;8
2022-02-02;2,025;2;2;9
2022-02-02;1,767;2;2;10
2022-02-02;2,065;2;2;11
2022-02-02;1,403;2;2;12
2022-02-02;1,373;2;2;13
2022-02-02;1,135;2;2;14
2022-02-02;1,155;2;2;15
2022-02-02;1,006;2;2;16
2022-02-02;1,018;2;2;17
2022-02-02;1,17;2;2;18
2022-02-02;0,906;2;2;19
2022-02-02;0,901;2;2;20
2022-02-02;1,464;2;2;21
2022-02-02;1,982;2;2;22
2022-02-02;1,927;2;2;23
2022-02-02;1,033;2;2;24
2022-02-03;0,804;2;3;1
2022-02-03;0,702;2;3;2
2022-02-03;0,681;2;3;3
2022-02-03;0,935;2;3;4
2022-02-03;0,769;2;3;5
2022-02-03;0,776;2;3;6
2022-02-03;0,865;2;3;7
2022-02-03;0,749;2;3;8
2022-02-03;1,329;2;3;9
2022-02-03;0,9;2;3;10
2022-02-03;1,587;2;3;11
2022-02-03;1,591;2;3;12
2022-02-03;0,609;2;3;13
2022-02-03;0,632;2;3;14
2022-02-03;0,63;2;3;15
2022-02-03;0,66;2;3;16
2022-02-03;0,552;2;3;17
2022-02-03;0,558;2;3;18
2022-02-03;0,57;2;3;19
2022-02-03;0,499;2;3;20
2022-02-03;0,594;2;3;21
2022-02-03;0,609;2;3;22
